Unicode music-related symbols

=== Miscellaneous Symbols (music basics) ===
U+2669  ♩
U+266A  ♪
U+266B  ♫
U+266C  ♬
U+266D  ♭
U+266E  ♮
U+266F  ♯

=== Musical Symbols block ===
U+1D100  𝄀
U+1D101  𝄁
U+1D102  𝄂
U+1D103  𝄃
U+1D104  𝄄
U+1D105  𝄅
U+1D106  𝄆
U+1D107  𝄇
U+1D108  𝄈
U+1D109  𝄉
U+1D10A  𝄊
U+1D10B  𝄋
U+1D10C  𝄌
U+1D10D  𝄍
U+1D10E  𝄎
U+1D10F  𝄏
U+1D110  𝄐
U+1D111  𝄑
U+1D112  𝄒
U+1D113  𝄓
U+1D114  𝄔
U+1D115  𝄕
U+1D116  𝄖
U+1D117  𝄗
U+1D118  𝄘
U+1D119  𝄙
U+1D11A  𝄚
U+1D11B  𝄛
U+1D11C  𝄜
U+1D11D  𝄝
U+1D11E  𝄞
U+1D11F  𝄟
U+1D120  𝄠
U+1D121  𝄡
U+1D122  𝄢
U+1D123  𝄣
U+1D124  𝄤
U+1D125  𝄥
U+1D126  𝄦
U+1D127  𝄧
U+1D128  𝄨
U+1D129  𝄩
U+1D12A  𝄪
U+1D12B  𝄫
U+1D12C  𝄬
U+1D12D  𝄭
U+1D12E  𝄮
U+1D12F  𝄯
U+1D130  𝄰
U+1D131  𝄱
U+1D132  𝄲
U+1D133  𝄳
U+1D134  𝄴
U+1D135  𝄵
U+1D136  𝄶
U+1D137  𝄷
U+1D138  𝄸
U+1D139  𝄹
U+1D13A  𝄺
U+1D13B  𝄻
U+1D13C  𝄼
U+1D13D  𝄽
U+1D13E  𝄾
U+1D13F  𝄿
U+1D140  𝅀
U+1D141  𝅁
U+1D142  𝅂
U+1D143  𝅃
U+1D144  𝅄
U+1D145  𝅅
U+1D146  𝅆
U+1D147  𝅇
U+1D148  𝅈
U+1D149  𝅉
U+1D14A  𝅊
U+1D14B  𝅋
U+1D14C  𝅌
U+1D14D  𝅍
U+1D14E  𝅎
U+1D14F  𝅏
U+1D150  𝅐
U+1D151  𝅑
U+1D152  𝅒
U+1D153  𝅓
U+1D154  𝅔
U+1D155  𝅕
U+1D156  𝅖
U+1D157  𝅗
U+1D158  𝅘
U+1D159  𝅙
U+1D15A  𝅚
U+1D15B  𝅛
U+1D15C  𝅜
U+1D15D  𝅝
U+1D15E  𝅗𝅥
U+1D15F  𝅘𝅥
U+1D160  𝅘𝅥𝅮
U+1D161  𝅘𝅥𝅯
U+1D162  𝅘𝅥𝅰
U+1D163  𝅘𝅥𝅱
U+1D164  𝅘𝅥𝅲
U+1D165  𝅥
U+1D166  𝅦
U+1D167  𝅧
U+1D168  𝅨
U+1D169  𝅩
U+1D16A  𝅪
U+1D16B  𝅫
U+1D16C  𝅬
U+1D16D  𝅭
U+1D16E  𝅮
U+1D16F  𝅯
U+1D170  𝅰
U+1D171  𝅱
U+1D172  𝅲
U+1D173  𝅳
U+1D174  𝅴
U+1D175  𝅵
U+1D176  𝅶
U+1D177  𝅷
U+1D178  𝅸
U+1D179  𝅹
U+1D17A  𝅺
U+1D17B  𝅻
U+1D17C  𝅼
U+1D17D  𝅽
U+1D17E  𝅾
U+1D17F  𝅿
U+1D180  𝆀
U+1D181  𝆁
U+1D182  𝆂
U+1D183  𝆃
U+1D184  𝆄
U+1D185  𝆅
U+1D186  𝆆
U+1D187  𝆇
U+1D188  𝆈
U+1D189  𝆉
U+1D18A  𝆊
U+1D18B  𝆋
U+1D18C  𝆌
U+1D18D  𝆍
U+1D18E  𝆎
U+1D18F  𝆏
U+1D190  𝆐
U+1D191  𝆑
